#metadataBlock	name	dataverseAlias	displayName	blockURI												
	citation		Citation Metadata	https://dataverse.org/schema/citation/												
#datasetField	name	title	description	watermark	 fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	producerAbbreviation	Abbreviation	The abbreviation by which the producer is commonly known. (ex. IQSS, ICPSR)		text	46	(#VALUE)	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	producer	citation	
	producerURL	URL	Producer URL points to the producer's web presence, if appropriate. Enter an absolute URL where the producer's web site is found, such as http://www.my.org.  	Enter full URL, starting with http://	url	47	<a href='#VALUE'>#VALUE</a>	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	producer	citation	
	funding	Funding	External founding of a project		text	48		TRUE	FALSE	TRUE	FALSE	TRUE	FALSE		citation	
	fundingAgency	Funding institution	The institution granting external financing of a project		text	49	#VALUE:	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	funding	citation	
	fundingName	Grant name			text	50	#VALUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	funding	citation	
	fundingID	Grant ID			text	51	#VALUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	funding	citation	
	grantInfo	Grant Information	Additional information about the awarded grant		url	52	<a href='#VALUE'>#VALUE</a>	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	funding	citation	
	depositor	Depositor	The person (Family Name, Given Name) or the name of the organization that deposited this Dataset to the repository.		text	53		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		citation	
	dateOfDeposit	Deposit Date	Date that the Dataset was deposited into the repository.	YYYY-MM-DD	date	54		FALSE	FALSE	FALSE	TRUE	FALSE	FALSE		citation	http://purl.org/dc/terms/dateSubmitted
	dateOfCollection	Date of Collection	Contains the date(s) when the data were collected.		none	55	;	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		citation	
	dateOfCollectionStart	Start	Date when the data collection started.	YYYY-MM-DD	date	56	#NAME: #VALUE 	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	dateOfCollection	citation	
	dateOfCollectionEnd	End	Date when the data collection ended.	YYYY-MM-DD	date	57	#NAME: #VALUE 	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	dateOfCollection	citation	
	kindOfDataMain	Kind of Data			none	58		FALSE	FALSE	TRUE	FALSE	TRUE	TRUE		citation	
	kindOfData	Kind of Data	Type of data included in the file: survey data, census/enumeration data, aggregate data, clinical data, event/transaction data, program source code, machine-readable text, administrative records data, experimental data, psychological test, textual data, coded textual, coded documents, time budget diaries, observation data/ratings, process-produced data, or other.		text	59	#VALUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	kindOfDataMain	citation	http://rdf-vocabulary.ddialliance.org/discovery#kindOfData
	topicClassification	Topic Classification	Indicates a broad, important topic or subject that the Dataset covers and information about any controlled vocabulary used		none	60		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		citation	
	topicClassValue	Term	A topic or subject term		text	61	#VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	topicClassification	citation	
	topicClassVocab	Controlled Vocabulary Name	The controlled vocabulary used for the keyword term (e.g. LCSH, MeSH)		text	62	(#VALUE)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	topicClassification	citation	
	topicClassVocabURI	Controlled Vocabulary URL	The URL where one can access information about the term's controlled vocabulary	https://	url	63	"<a href=""#VALUE"" target=""_blank"" rel=""noopener"">#VALUE</a>"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	topicClassification	citation	
	subject				text	64		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		citation	
